DATE,TIME,LON,LAT
2013-08-17,19:10:49,-118.27441,34.0988526
2013-08-17,19:11:49,-118.27441,34.0988526
2013-08-17,19:12:49,-118.27441,34.0988526
2013-08-17,19:14:49,-118.27441,34.0988526
2013-08-17,19:15:49,-118.27441,34.0988526
2013-08-17,19:16:49,-118.27441,34.0988526
2013-08-17,19:17:49,-118.27441,34.0988526
2013-08-17,19:18:49,-118.27441,34.0988526
2013-08-17,19:19:49,-118.27441,34.0988526
2013-08-17,19:20:49,-118.27441,34.0988526
2013-08-17,19:21:49,-118.27441,34.0988526
2013-08-17,19:22:49,-118.27441,34.0988526
2013-08-17,19:23:49,-118.27441,34.0988526
2013-08-17,19:26:49,-118.27441,34.0988526
2013-08-17,19:27:49,-118.27441,34.0988526
2013-08-17,19:28:50,-118.27441,34.0988526
2013-08-17,19:29:50,-118.276239,34.0965145
2013-08-17,19:30:51,-118.2762497,34.0965092
2013-08-17,19:31:51,-118.2810938,34.0958333
2013-08-17,19:32:52,-118.2839798,34.0958011
2013-08-17,19:33:53,-118.2805895,34.0925878
2013-08-17,19:34:54,-118.2772904,34.0901309
2013-08-17,19:35:55,-118.2755416,34.0866762
2013-08-17,19:36:55,-118.2706546,34.0807592
2013-08-17,19:37:55,-118.2667225,34.0783506
2013-08-17,19:38:56,-118.2653492,34.0773689
2013-08-17,19:39:56,-118.2643139,34.0774172
2013-08-17,19:40:57,-118.263874,34.0774333
2013-08-17,19:41:57,-118.2661271,34.0732973
2013-08-17,19:42:58,-118.2669317,34.071967
2013-08-17,19:43:59,-118.2671034,34.0717041
2013-08-17,19:44:59,-118.2640188,34.0706098
2013-08-17,19:46:00,-118.2585203,34.068641
2013-08-17,19:47:01,-118.2496261,34.0627777
2013-08-17,19:48:01,-118.2578819,34.0544736
2013-08-17,19:49:03,-118.2633805,34.0522849
2013-08-17,19:50:02,-118.2650005,34.0497851
2013-08-17,19:51:02,-118.2683372,34.0470439
2013-08-17,19:52:03,-118.2743936,34.0360361
2013-08-17,19:53:02,-118.2752924,34.027391
2013-08-17,19:54:03,-118.2812869,34.0110433
2013-08-17,19:55:04,-118.2808738,33.998056
2013-08-17,19:56:05,-118.2807612,33.9855355
2013-08-17,19:57:05,-118.281024,33.9717489
2013-08-17,19:58:06,-118.2811152,33.9582306
2013-08-17,19:59:07,-118.2800209,33.9452862
2013-08-17,20:00:07,-118.2811474,33.9320683
2013-08-17,20:01:08,-118.2944887,33.9288872
2013-08-17,20:02:08,-118.3106786,33.9257115
2013-08-17,20:03:09,-118.3252751,33.9255237
2013-08-17,20:04:10,-118.3393299,33.9269936
2013-08-17,20:05:11,-118.3533632,33.9338976
2013-08-17,20:06:14,-118.3690863,33.930239
2013-08-17,20:07:13,-118.3852708,33.9312529
2013-08-17,20:08:13,-118.3960533,33.9328354
2013-08-17,20:09:14,-118.3960908,33.9415311
2013-08-17,20:10:15,-118.3897501,33.9455062
2013-08-17,20:11:16,-118.3860003,33.9469707
2013-08-17,20:12:16,-118.3858126,33.949964
2013-08-17,20:14:11,-118.3890377,33.9492022
2013-08-17,20:15:11,-118.378906,33.9510864
2013-08-17,20:17:10,-118.378906,33.9510864
2013-08-17,20:18:10,-118.378906,33.9510864
2013-08-17,20:19:10,-118.378906,33.9510864
2013-08-17,20:20:10,-118.378906,33.9510864
2013-08-17,20:21:10,-118.378906,33.9510864
2013-08-17,20:22:11,-118.3844477,33.9491968
2013-08-17,20:23:11,-118.378906,33.9510864
2013-08-17,20:24:11,-118.378906,33.9510864
2013-08-17,20:25:11,-118.378906,33.9510864
2013-08-17,20:26:11,-118.3824998,33.948925
2013-08-17,20:29:11,-118.3975249,33.9406881
2013-08-17,20:31:12,-118.4008472,33.9461165
2013-08-17,20:33:11,-118.4008472,33.9461165
2013-08-17,20:34:11,-118.4008472,33.9461165
2013-08-17,20:35:11,-118.4008472,33.9461165
2013-08-17,20:37:11,-118.4008472,33.9461165
2013-08-17,20:38:11,-118.4008472,33.9461165
2013-08-17,20:39:12,-118.4008472,33.9461165
2013-08-17,20:40:12,-118.4008472,33.9461165
2013-08-17,20:41:12,-118.4008472,33.9461165
2013-08-17,20:42:12,-118.4008472,33.9461165
2013-08-17,20:43:12,-118.4008472,33.9461165
2013-08-17,20:44:12,-118.4008472,33.9461165
2013-08-17,20:45:12,-118.4008472,33.9461165
2013-08-17,20:46:12,-118.4008472,33.9461165
2013-08-17,20:47:12,-118.4008472,33.9461165
2013-08-17,20:48:12,-118.399186,33.9434023
2013-08-17,20:49:12,-118.4008472,33.9461165
2013-08-17,20:51:12,-118.4008472,33.9461165
2013-08-17,20:53:12,-118.4008472,33.9461165
2013-08-17,20:54:12,-118.4008472,33.9461165
2013-08-17,20:55:12,-118.4008472,33.9461165
2013-08-17,20:56:12,-118.4008472,33.9461165
2013-08-17,20:57:12,-118.4008472,33.9461165
2013-08-17,20:58:12,-118.4008472,33.9461165
2013-08-17,20:59:12,-118.4008472,33.9461165
